Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Import Grand-Est;Import Auvergne-Rhône-Alpes;Import Nouvelle-Aquitaine;Import Bourgogne-Franche-Comté;Import Bretagne;Import Centre-Val de Loire;Import Ile-de-France;Import Occitanie;Import Hauts-de-France;Import Normandie;Import Pays-de-la-Loire;Import PACA;Import Espagne;Import Suisse;Import Royaume-Uni;Import Italie;Import Allemagne;Import Belgique;Import Luxembourg;Export Grand-Est;Export Auvergne-Rhône-Alpes;Export Nouvelle-Aquitaine;Export Bourgogne-Franche-Comté;Export Bretagne;Export Centre-Val de Loire;Export Ile-de-France;Export Occitanie;Export Hauts-de-France;Export Normandie;Export Pays-de-la-Loire;Export PACA;Export Espagne;Export Suisse;Export Royaume-Uni;Export Italie;Export Allemagne;Export Belgique;Export Luxembourg;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 64
93;Provence-Alpes-Côte d'Azur;Données temps réel;2020-05-01;02:00;2020-05-01T02:00:00+02:00;3458;137;;6;0;703;0;108;2504;-;159;-;;-;-;;2845;-;-;-;-;-;;-;0;;;;-;-102;-;;-;-;;-192;;-;-;-;-;;-;-206;;;;3.96;4.14;;;0.17;12.5;0.0;0.0;20.33;21.51;3.12;36.86;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2020-05-01;05:30;2020-05-01T05:30:00+02:00;2914;137;;1;0;613;0;112;2052;-;128;-;;-;-;;2436;-;-;-;-;-;;-;0;;;;-;-142;-;;-;-;;-143;;-;-;-;-;;-;-227;;;;4.7;4.14;;;0.03;2.08;0.0;0.0;21.04;18.75;3.84;38.23;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2020-05-01;06:30;2020-05-01T06:30:00+02:00;2850;137;;1;11;690;-51;108;1954;-;114;-;;-;-;;2411;-;-;-;-;-;;-;0;;;;-;-180;-;;-;-;;-161;;-;-;-;-;;-;-230;;;;4.81;4.14;;;0.04;2.08;0.39;0.82;24.21;21.11;3.79;36.86;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2020-05-01;08:00;2020-05-01T08:00:00+02:00;2920;138;;1;60;796;-50;108;1869;-;96;-;;-;-;;2401;-;-;-;-;-;;-;0;;;;-;-212;-;;-;-;;-189;;-;-;-;-;;-;-227;;;;4.73;4.17;;;0.03;2.08;2.05;4.47;27.26;24.35;3.7;36.86;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2020-05-01;08:30;2020-05-01T08:30:00+02:00;3007;137;;1;109;842;0;109;1810;-;75;-;;-;-;;2396;-;-;-;-;-;;-;0;;;;-;-273;-;;-;-;;-211;;-;-;-;-;;-;-178;;;;4.56;4.14;;;0.03;2.08;3.62;8.13;28.0;25.76;3.62;37.2;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2020-05-01;08:45;2020-05-01T08:45:00+02:00;3033;138;;1;112;843;0;110;1831;-;82;-;;-;-;;2362;-;-;-;-;-;;-;0;;;;-;-264;-;;-;-;;-212;;-;-;-;-;;-;-137;;;;4.55;4.17;;;0.03;2.08;3.69;8.35;27.79;25.79;3.63;37.54;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2020-05-01;09:15;2020-05-01T09:15:00+02:00;3137;137;;1;144;869;0;108;1878;-;57;-;;-;-;;2510;-;-;-;-;-;;-;0;;;;-;-293;-;;-;-;;-219;;-;-;-;-;;-;-177;;;;4.37;4.14;;;0.03;2.08;4.59;10.74;27.7;26.58;3.44;36.86;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2020-05-01;09:45;2020-05-01T09:45:00+02:00;3170;138;;1;241;913;0;108;1769;-;67;-;;-;-;;2396;-;-;-;-;-;;-;0;;;;-;-317;-;;-;-;;-221;;-;-;-;-;;-;-155;;;;4.35;4.17;;;0.03;2.08;7.6;17.97;28.8;27.93;3.41;36.86;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2020-05-01;13:45;2020-05-01T13:45:00+02:00;3632;137;;4;309;613;-51;107;2514;-;159;-;;-;-;;2822;-;-;-;-;-;;-;0;;;;-;-141;-;;-;-;;-142;;-;-;-;-;;-;-184;;;;3.77;4.14;;;0.11;8.33;8.51;23.04;16.88;18.75;2.95;36.52;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2020-05-01;14:30;2020-05-01T14:30:00+02:00;3679;137;;6;338;585;-51;107;2557;-;177;-;;-;-;;2738;-;-;-;-;-;;-;0;;;;-;-76;-;;-;-;;-115;;-;-;-;-;;-;-167;;;;3.72;4.14;;;0.16;12.5;9.19;25.21;15.9;17.9;2.91;36.52;
