FID,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-15aa,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1.05,ug.m-3,mensuelle,2018/07/01 00:00,2018/07/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-15a9,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1.14,ug.m-3,mensuelle,2018/08/01 00:00,2018/08/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-15a8,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,3.03,ug.m-3,mensuelle,2018/09/01 00:00,2018/09/30 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-15a7,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1.11,ug.m-3,mensuelle,2018/10/01 00:00,2018/10/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-15a6,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1.13,ug.m-3,mensuelle,2018/11/01 00:00,2018/11/30 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-15a5,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,2.21,ug.m-3,mensuelle,2018/12/01 00:00,2018/12/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-15a4,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,0.74,ug.m-3,mensuelle,2019/01/01 00:00,2019/01/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-15a3,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,2.39,ug.m-3,mensuelle,2019/02/01 00:00,2019/02/28 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-15a2,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,0.72,ug.m-3,mensuelle,2019/03/01 00:00,2019/03/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-15a1,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,0.69,ug.m-3,mensuelle,2019/04/01 00:00,2019/04/30 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-15a0,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,0.54,ug.m-3,mensuelle,2019/05/01 00:00,2019/05/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-159f,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,0.91,ug.m-3,mensuelle,2019/06/01 00:00,2019/06/30 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-159e,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1.32,ug.m-3,mensuelle,2019/07/01 00:00,2019/07/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-159d,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1.21,ug.m-3,mensuelle,2019/08/01 00:00,2019/08/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-159c,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1,ug.m-3,mensuelle,2019/09/01 00:00,2019/09/30 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-159b,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1.07,ug.m-3,mensuelle,2019/10/01 00:00,2019/10/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-159a,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1.27,ug.m-3,mensuelle,2019/11/01 00:00,2019/11/30 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1599,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,1.67,ug.m-3,mensuelle,2019/12/01 00:00,2019/12/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1598,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Benzène,20,2.26,ug.m-3,mensuelle,2020/01/01 00:00,2020/01/31 23:59,true,875751.23889722,6267655.43799859
